"","age","race_gender","survival"
"1",0,"white_male",1
"2",0,"white_female",1
"3",0,"black_male",1
"4",0,"black_female",1
"5",1,"white_male",0.99092
"6",1,"white_female",0.99285
"7",1,"black_male",0.97996
"8",1,"black_female",0.98283
"9",2,"white_male",0.99024
"10",2,"white_female",0.99232
"11",2,"black_male",0.97881
"12",2,"black_female",0.98193
"13",3,"white_male",0.98975
"14",3,"white_female",0.99192
"15",3,"black_male",0.97792
"16",3,"black_female",0.98119
"17",4,"white_male",0.98937
"18",4,"white_female",0.9916
"19",4,"black_male",0.97722
"20",4,"black_female",0.98059
"21",5,"white_male",0.98905
"22",5,"white_female",0.99134
"23",5,"black_male",0.97664
"24",5,"black_female",0.98011
"25",6,"white_male",0.98877
"26",6,"white_female",0.99111
"27",6,"black_male",0.97615
"28",6,"black_female",0.97972
"29",7,"white_male",0.9885
"30",7,"white_female",0.99091
"31",7,"black_male",0.97571
"32",7,"black_female",0.97941
"33",8,"white_male",0.98825
"34",8,"white_female",0.99073
"35",8,"black_male",0.97532
"36",8,"black_female",0.97915
"37",9,"white_male",0.98802
"38",9,"white_female",0.99056
"39",9,"black_male",0.97499
"40",9,"black_female",0.97892
"41",10,"white_male",0.98782
"42",10,"white_female",0.99041
"43",10,"black_male",0.97472
"44",10,"black_female",0.9787
"45",11,"white_male",0.98765
"46",11,"white_female",0.99028
"47",11,"black_male",0.97449
"48",11,"black_female",0.97847
"49",12,"white_male",0.98748
"50",12,"white_female",0.99015
"51",12,"black_male",0.97425
"52",12,"black_female",0.97823
"53",13,"white_male",0.98724
"54",13,"white_female",0.98999
"55",13,"black_male",0.97392
"56",13,"black_female",0.97796
"57",14,"white_male",0.98686
"58",14,"white_female",0.98977
"59",14,"black_male",0.97339
"60",14,"black_female",0.97767
"61",15,"white_male",0.98628
"62",15,"white_female",0.98948
"63",15,"black_male",0.97258
"64",15,"black_female",0.97735
"65",16,"white_male",0.98547
"66",16,"white_female",0.98909
"67",16,"black_male",0.97145
"68",16,"black_female",0.97699
"69",17,"white_male",0.98445
"70",17,"white_female",0.98862
"71",17,"black_male",0.97002
"72",17,"black_female",0.97658
"73",18,"white_male",0.98326
"74",18,"white_female",0.98809
"75",18,"black_male",0.96829
"76",18,"black_female",0.97612
"77",19,"white_male",0.98197
"78",19,"white_female",0.98755
"79",19,"black_male",0.96628
"80",19,"black_female",0.97559
"81",20,"white_male",0.98063
"82",20,"white_female",0.98703
"83",20,"black_male",0.96403
"84",20,"black_female",0.97498
"85",21,"white_male",0.97924
"86",21,"white_female",0.98654
"87",21,"black_male",0.96151
"88",21,"black_female",0.97429
"89",22,"white_male",0.9778
"90",22,"white_female",0.98607
"91",22,"black_male",0.95873
"92",22,"black_female",0.97352
"93",23,"white_male",0.97633
"94",23,"white_female",0.98561
"95",23,"black_male",0.95575
"96",23,"black_female",0.97267
"97",24,"white_male",0.97483
"98",24,"white_female",0.98514
"99",24,"black_male",0.95267
"100",24,"black_female",0.97174
"101",25,"white_male",0.97332
"102",25,"white_female",0.98466
"103",25,"black_male",0.94954
"104",25,"black_female",0.97074
"105",26,"white_male",0.97181
"106",26,"white_female",0.98416
"107",26,"black_male",0.94639
"108",26,"black_female",0.96967
"109",27,"white_male",0.97029
"110",27,"white_female",0.98365
"111",27,"black_male",0.94319
"112",27,"black_female",0.96852
"113",28,"white_male",0.96876
"114",28,"white_female",0.98312
"115",28,"black_male",0.93989
"116",28,"black_female",0.96728
"117",29,"white_male",0.96719
"118",29,"white_female",0.98257
"119",29,"black_male",0.93642
"120",29,"black_female",0.96594
"121",30,"white_male",0.96557
"122",30,"white_female",0.98199
"123",30,"black_male",0.93273
"124",30,"black_female",0.96448
"125",31,"white_male",0.9639
"126",31,"white_female",0.98138
"127",31,"black_male",0.92881
"128",31,"black_female",0.96289
"129",32,"white_male",0.96217
"130",32,"white_female",0.98073
"131",32,"black_male",0.92466
"132",32,"black_female",0.96118
"133",33,"white_male",0.96038
"134",33,"white_female",0.98005
"135",33,"black_male",0.92024
"136",33,"black_female",0.95934
"137",34,"white_male",0.95852
"138",34,"white_female",0.97933
"139",34,"black_male",0.91551
"140",34,"black_female",0.9574
"141",35,"white_male",0.95659
"142",35,"white_female",0.97858
"143",35,"black_male",0.91044
"144",35,"black_female",0.95336
"145",36,"white_male",0.95457
"146",36,"white_female",0.97779
"147",36,"black_male",0.90501
"148",36,"black_female",0.95321
"149",37,"white_male",0.95245
"150",37,"white_female",0.97696
"151",37,"black_male",0.89922
"152",37,"black_female",0.95095
"153",38,"white_male",0.95024
"154",38,"white_female",0.97607
"155",38,"black_male",0.89312
"156",38,"black_female",0.94855
"157",39,"white_male",0.94794
"158",39,"white_female",0.9751
"159",39,"black_male",0.88677
"160",39,"black_female",0.94598
"161",40,"white_male",0.94555
"162",40,"white_female",0.97404
"163",40,"black_male",0.88021
"164",40,"black_female",0.94321
"165",41,"white_male",0.94307
"166",41,"white_female",0.97287
"167",41,"black_male",0.87344
"168",41,"black_female",0.94023
"169",42,"white_male",0.94047
"170",42,"white_female",0.97158
"171",42,"black_male",0.86643
"172",42,"black_female",0.93703
"173",43,"white_male",0.93771
"174",43,"white_female",0.97016
"175",43,"black_male",0.85917
"176",43,"black_female",0.93361
"177",44,"white_male",0.93477
"178",44,"white_female",0.96862
"179",44,"black_male",0.85163
"180",44,"black_female",0.92998
"181",45,"white_male",0.93161
"182",45,"white_female",0.96694
"183",45,"black_male",0.84377
"184",45,"black_female",0.92612
"185",46,"white_male",0.9282
"186",46,"white_female",0.96511
"187",46,"black_male",0.83559
"188",46,"black_female",0.92202
"189",47,"white_male",0.9245
"190",47,"white_female",0.96311
"191",47,"black_male",0.82707
"192",47,"black_female",0.91765
"193",48,"white_male",0.9205
"194",48,"white_female",0.96091
"195",48,"black_male",0.81814
